,현장명,일시,신호횟수,운영시간,녹색시간,통과보행자,보행시간,보행자분류_일반,보행자분류_적색횡단,보행자분류_무단횡단,연장_횟수,연장_시간,연장_보행자,교통약자_목발,교통약자_휠체어,교통약자_유모차,교통약자_합계,잔여,보도길이,보행속도,시간,월,요일(0~6)
111,자운학교앞(5),2022-05-23 05:00:00,24,3601,968,16,31.0,14,0,0,1,8,1,0,0,0,0,0,35,1.129032258064516,5,5,0
112,자운학교앞(5),2022-05-23 06:00:00,21,3529,833,21,26.16666667,17,3,0,1,1,1,1,1,0,2,0,35,1.337579617664002,6,5,0
113,자운학교앞(5),2022-05-23 07:00:00,21,3578,850,36,23.33333333,35,0,0,1,4,1,2,3,0,5,0,35,1.500000000214286,7,5,0
114,자운학교앞(5),2022-05-23 08:00:00,22,3740,903,85,25.875,73,1,0,7,16,7,1,5,4,10,0,35,1.352657004830918,8,5,0
115,자운학교앞(5),2022-05-23 09:00:00,23,3563,922,56,27.54545455,53,1,0,1,1,1,2,2,4,8,0,35,1.270627062496596,9,5,0
116,자운학교앞(5),2022-05-23 10:00:00,24,3600,961,33,28.27272727,32,0,0,1,1,1,0,0,0,0,0,35,1.237942122305911,10,5,0
117,자운학교앞(5),2022-05-23 11:00:00,24,3600,972,35,25.13636364,33,1,0,1,8,1,2,1,1,4,0,35,1.392405063089706,11,5,0
118,자운학교앞(5),2022-05-23 12:00:00,24,3600,983,51,26.04545455,41,2,0,4,13,5,1,2,2,5,0,35,1.343804537287294,12,5,0
119,자운학교앞(5),2022-05-23 13:00:00,24,3601,976,46,28.875,43,0,0,3,5,3,0,2,2,4,0,35,1.212121212121212,13,5,0
120,자운학교앞(5),2022-05-23 14:00:00,24,3599,977,43,27.22222222,35,1,0,4,11,5,0,0,1,1,0,35,1.285714285819242,14,5,0
121,자운학교앞(5),2022-05-23 15:00:00,24,3599,969,55,24.59090909,48,3,0,2,8,3,0,2,0,2,0,35,1.423290203379789,15,5,0
122,자운학교앞(5),2022-05-23 16:00:00,21,3571,855,58,25.54166667,49,0,0,3,13,5,1,0,5,6,1,35,1.370309950881526,16,5,0
123,자운학교앞(5),2022-05-23 17:00:00,21,3570,859,71,23.29166667,61,1,0,5,12,8,4,0,4,8,0,35,1.502683362933426,17,5,0
124,자운학교앞(5),2022-05-23 18:00:00,21,3570,853,56,24.77272727,53,0,0,2,7,2,4,3,1,8,0,35,1.41284403685279,18,5,0
125,자운학교앞(5),2022-05-23 19:00:00,21,3569,851,50,25.72222222,44,0,0,3,8,5,3,2,2,7,0,35,1.360691144825978,19,5,0
126,자운학교앞(5),2022-05-23 20:00:00,22,3741,895,60,25.58333333,53,0,0,3,12,4,0,5,0,5,0,35,1.368078176074017,20,5,0
127,자운학교앞(5),2022-05-23 21:00:00,23,3580,933,64,25.54545455,56,0,0,5,7,7,0,3,3,6,0,35,1.370106761322045,21,5,0
128,자운학교앞(5),2022-05-23 22:00:00,24,3600,975,48,24.625,38,5,0,3,13,5,2,8,0,10,0,35,1.421319796954315,22,5,0
129,자운학교앞(5),2022-05-23 23:00:00,24,3600,973,15,25.6,10,1,0,2,5,2,1,1,1,3,1,35,1.3671875,23,5,0
130,자운학교앞(5),2022-05-24 00:00:00,24,3600,971,14,32.25,10,0,0,1,9,2,1,1,0,2,0,35,1.085271317829457,0,5,1
131,자운학교앞(5),2022-05-24 01:00:00,24,3600,960,3,34.66666667,3,0,0,0,0,0,0,0,0,0,0,35,1.009615384518306,1,5,1
132,자운학교앞(5),2022-05-24 02:00:00,24,3600,960,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,2,5,1
133,자운학교앞(5),2022-05-24 03:00:00,24,3600,957,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,3,5,1
134,자운학교앞(5),2022-05-24 04:00:00,24,3602,957,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,4,5,1
135,자운학교앞(5),2022-05-24 05:00:00,24,3600,960,14,21.75,13,1,0,0,0,0,1,0,0,1,0,35,1.609195402298851,5,5,1
136,자운학교앞(5),2022-05-24 06:00:00,21,3530,858,32,25.11111111,26,1,0,2,15,4,1,1,1,3,1,35,1.393805309796186,6,5,1
137,자운학교앞(5),2022-05-24 07:00:00,21,3570,847,41,26.59090909,37,2,0,2,4,2,1,1,0,2,0,35,1.316239316284316,7,5,1
138,자운학교앞(5),2022-05-24 08:00:00,22,3740,894,79,22.68181818,71,1,0,6,13,6,4,6,1,11,0,35,1.543086172468384,8,5,1
139,자운학교앞(5),2022-05-24 09:00:00,23,3559,921,43,26.09090909,42,1,0,0,0,0,1,3,2,6,0,35,1.341463414680887,9,5,1
140,자운학교앞(5),2022-05-24 10:00:00,24,3600,975,45,31.45454545,41,0,0,2,8,3,0,1,1,2,0,35,1.112716763166578,10,5,1
141,자운학교앞(5),2022-05-24 11:00:00,24,3600,964,33,28.65,32,0,0,1,1,1,0,4,0,4,0,35,1.221640488656196,11,5,1
142,자운학교앞(5),2022-05-24 12:00:00,24,3600,963,37,28.90909091,35,1,0,1,1,1,0,2,0,2,0,35,1.210691823861299,12,5,1
143,자운학교앞(5),2022-05-24 13:00:00,24,3600,970,58,25.20833333,53,0,0,3,6,5,2,3,2,7,0,35,1.38842975224971,13,5,1
144,자운학교앞(5),2022-05-24 14:00:00,24,3600,970,54,25.55,43,0,0,2,10,5,0,2,2,4,0,35,1.36986301369863,14,5,1
145,자운학교앞(5),2022-05-24 15:00:00,24,3601,965,43,25.5,36,1,0,2,6,3,0,0,2,2,0,35,1.372549019607843,15,5,1
146,자운학교앞(5),2022-05-24 16:00:00,21,3573,868,74,28.31818182,61,0,0,6,19,10,2,1,4,7,0,35,1.23595505610042,16,5,1
147,자운학교앞(5),2022-05-24 17:00:00,21,3567,867,87,25.41666667,70,1,0,6,15,14,3,1,1,5,0,35,1.377049180147272,17,5,1
148,자운학교앞(5),2022-05-24 18:00:00,21,3570,869,79,25.09090909,65,0,0,4,23,10,4,4,3,11,0,35,1.394927536282425,18,5,1
149,자운학교앞(5),2022-05-24 19:00:00,21,3570,847,72,28.0,67,2,0,2,4,2,1,2,0,3,0,35,1.25,19,5,1
150,자운학교앞(5),2022-05-24 20:00:00,22,3741,897,67,26.125,61,0,0,4,14,5,0,3,1,4,0,35,1.339712918660287,20,5,1
151,자운학교앞(5),2022-05-24 21:00:00,23,3579,948,66,29.11111111,50,4,0,7,27,12,0,5,2,7,0,35,1.202290076381767,21,5,1
152,자운학교앞(5),2022-05-24 22:00:00,24,3601,970,45,24.0,39,1,0,1,5,3,1,10,1,12,0,35,1.458333333333333,22,5,1
153,자운학교앞(5),2022-05-24 23:00:00,24,3600,973,13,28.85714286,6,4,0,2,10,2,0,0,1,1,0,35,1.212871287008627,23,5,1
154,자운학교앞(5),2022-05-25 00:00:00,24,3601,962,9,30.0,8,0,0,1,1,1,0,1,0,1,0,35,1.166666666666667,0,5,2
155,자운학교앞(5),2022-05-25 01:00:00,24,3599,963,6,20.33333333,2,2,0,1,2,1,0,0,0,0,0,35,1.721311475692018,1,5,2
156,자운학교앞(5),2022-05-25 02:00:00,24,3600,959,4,43.0,1,3,0,0,0,0,0,0,0,0,0,35,0.813953488372093,2,5,2
157,자운학교앞(5),2022-05-25 03:00:00,24,3601,954,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,3,5,2
158,자운학교앞(5),2022-05-25 04:00:00,24,3601,969,8,32.0,1,0,0,1,9,3,0,0,0,0,0,35,1.09375,4,5,2
159,자운학교앞(5),2022-05-25 05:00:00,24,3609,981,35,24.25,23,3,0,4,16,7,2,4,1,7,0,35,1.443298969072165,5,5,2
160,자운학교앞(5),2022-05-25 06:00:00,21,3522,844,21,29.58333333,18,2,0,1,1,1,1,2,0,3,0,35,1.183098591682603,6,5,2
161,자운학교앞(5),2022-05-25 07:00:00,21,3570,843,38,23.94444444,37,1,0,1,1,0,1,2,0,3,0,35,1.461716937626305,7,5,2
162,자운학교앞(5),2022-05-25 08:00:00,22,3741,899,74,23.45454545,67,1,0,3,14,4,1,3,0,4,1,35,1.492248062304699,8,5,2
163,자운학교앞(5),2022-05-25 09:00:00,23,3560,922,52,27.83333333,52,0,0,0,0,0,0,3,1,4,0,35,1.257485030090717,9,5,2
164,자운학교앞(5),2022-05-25 10:00:00,24,3600,976,44,27.45833333,38,0,0,4,7,4,0,3,2,5,0,35,1.274658573751097,10,5,2
165,자운학교앞(5),2022-05-25 11:00:00,24,3600,974,43,27.63636364,38,2,0,1,9,1,0,0,1,1,0,35,1.266447368254415,11,5,2
166,자운학교앞(5),2022-05-25 12:00:00,24,3602,973,49,23.68181818,44,1,0,4,9,4,0,2,1,3,0,35,1.4779270634532,12,5,2
167,자운학교앞(5),2022-05-25 13:00:00,24,3598,973,44,26.45833333,39,0,0,3,10,4,0,3,2,5,0,35,1.322834645835948,13,5,2
168,자운학교앞(5),2022-05-25 14:00:00,24,3604,967,39,25.33333333,36,0,0,3,7,3,1,0,1,2,0,35,1.381578947550208,14,5,2
169,자운학교앞(5),2022-05-25 15:00:00,14,1985,558,25,27.85714286,24,1,0,0,0,0,0,0,1,1,0,35,1.256410256281394,15,5,2
170,자운학교앞(5),2022-05-25 16:00:00,21,3494,876,81,25.625,71,2,0,6,36,6,0,1,2,3,1,35,1.365853658536585,16,5,2
171,자운학교앞(5),2022-05-25 17:00:00,21,3561,868,71,25.29166667,64,4,0,4,23,3,0,1,1,2,4,35,1.383855024529311,17,5,2
172,자운학교앞(5),2022-05-25 18:00:00,21,3569,843,24,27.15,22,1,0,1,2,1,1,2,0,3,0,35,1.289134438305709,18,5,2
173,자운학교앞(5),2022-05-25 19:00:00,21,3572,841,27,28.375,27,0,0,1,1,0,0,3,1,4,0,35,1.233480176211454,19,5,2
174,자운학교앞(5),2022-05-25 20:00:00,22,3740,880,11,27.75,11,0,0,0,0,0,0,2,0,2,0,35,1.261261261261261,20,5,2
